"date","country","outcome","population"
2015-01-06,"Australia DCD",2471,23826920
2015-01-13,"Australia DCD",2327,23826920
2015-01-20,"Australia DCD",2374,23826920
2015-01-27,"Australia DCD",2278,23826920
2015-02-03,"Australia DCD",2351,23826920
2015-02-10,"Australia DCD",2460,23826920
2015-02-17,"Australia DCD",2276,23826920
2015-02-24,"Australia DCD",2481,23826920
2015-03-03,"Australia DCD",2356,23826920
2015-03-10,"Australia DCD",2509,23826920
2015-03-17,"Australia DCD",2321,23826920
2015-03-24,"Australia DCD",2491,23826920
2015-03-31,"Australia DCD",2428,23826920
2015-04-07,"Australia DCD",2386,23826920
2015-04-14,"Australia DCD",2543,23826920
2015-04-21,"Australia DCD",2532,23826920
2015-04-28,"Australia DCD",2652,23826920
2015-05-05,"Australia DCD",2584,23826920
2015-05-12,"Australia DCD",2717,23826920
2015-05-19,"Australia DCD",2786,23826920
2015-05-26,"Australia DCD",2658,23826920
2015-06-02,"Australia DCD",2596,23826920
2015-06-09,"Australia DCD",2840,23826920
2015-06-16,"Australia DCD",2698,23826920
2015-06-23,"Australia DCD",2759,23826920
2015-06-30,"Australia DCD",2783,23826920
2015-07-07,"Australia DCD",2896,23834149
2015-07-14,"Australia DCD",2914,23841378
2015-07-21,"Australia DCD",2974,23848607
2015-07-28,"Australia DCD",2938,23855837
2015-08-04,"Australia DCD",2971,23863066
2015-08-11,"Australia DCD",3103,23870295
2015-08-18,"Australia DCD",3035,23877524
2015-08-25,"Australia DCD",3088,23884753
2015-09-01,"Australia DCD",3008,23891982
2015-09-08,"Australia DCD",3018,23899211
2015-09-15,"Australia DCD",2996,23906441
2015-09-22,"Australia DCD",2829,23913670
2015-09-29,"Australia DCD",2763,23920899
2015-10-06,"Australia DCD",2736,23928128
2015-10-13,"Australia DCD",2660,23935357
2015-10-20,"Australia DCD",2598,23942586
2015-10-27,"Australia DCD",2529,23949815
2015-11-03,"Australia DCD",2505,23957045
2015-11-10,"Australia DCD",2488,23964274
2015-11-17,"Australia DCD",2480,23971503
2015-11-24,"Australia DCD",2435,23978732
2015-12-01,"Australia DCD",2508,23985961
2015-12-08,"Australia DCD",2449,23993190
2015-12-15,"Australia DCD",2553,24000419
2015-12-22,"Australia DCD",2409,24007648
2015-12-29,"Australia DCD",2354,24014878
2015-12-31,"Australia DCD",383,24016943
2016-01-06,"Australia DCD",2384,24023140
2016-01-13,"Australia DCD",2592,24030369
2016-01-20,"Australia DCD",2450,24037598
2016-01-27,"Australia DCD",2394,24044827
2016-02-03,"Australia DCD",2428,24052056
2016-02-10,"Australia DCD",2414,24059285
2016-02-17,"Australia DCD",2378,24066514
