"country","date","outcome","population"
"Italy",2015-01-15,16016,60501226.5643836
"Italy",2015-01-22,15282,60504465.109589
"Italy",2015-01-29,15040,60507703.6547945
"Italy",2015-02-05,15899,60510942.2
"Italy",2015-02-12,15713,60514180.7452055
"Italy",2015-02-19,15490,60517419.290411
"Italy",2015-02-26,15093,60520657.8356164
"Italy",2015-03-05,14610,60523896.3808219
"Italy",2015-03-12,14055,60527134.9260274
"Italy",2015-03-19,13749,60530373.4712329
"Italy",2015-03-26,13556,60533612.0164384
"Italy",2015-04-02,12994,60536850.5616438
"Italy",2015-04-09,12798,60540089.1068493
"Italy",2015-04-16,13263,60543327.6520548
"Italy",2015-04-23,12567,60546566.1972603
"Italy",2015-04-30,12073,60549804.7424658
"Italy",2016-01-15,13449,60624244.852459
"Italy",2016-01-22,13373,60625862.4836066
"Italy",2016-01-29,13595,60627480.1147541
"Italy",2016-02-05,13264,60629097.7459016
"Italy",2016-02-12,13354,60630715.3770492
"Italy",2016-02-19,13035,60632333.0081967
"Italy",2016-02-26,12845,60633950.6393443
"Italy",2016-03-04,12864,60635568.2704918
"Italy",2016-03-11,12924,60637185.9016393
"Italy",2016-03-18,12939,60638803.5327869
"Italy",2016-03-25,13047,60640421.1639344
"Italy",2016-04-01,12708,60642038.795082
"Italy",2016-04-08,12682,60643656.4262295
"Italy",2016-04-15,11974,60645274.057377
"Italy",2016-04-22,11789,60646891.6885246
"Italy",2016-04-29,11593,60648509.3196721
"Italy",2017-01-15,19235,60668832.2410959
"Italy",2017-01-22,18102,60669036.0273973
"Italy",2017-01-29,16655,60669239.8136986
"Italy",2017-02-05,15959,60669443.6
"Italy",2017-02-12,14252,60669647.3863014
"Italy",2017-02-19,13980,60669851.1726027
"Italy",2017-02-26,13462,60670054.9589041
"Italy",2017-03-05,13248,60670258.7452055
"Italy",2017-03-12,13046,60670462.5315069
"Italy",2017-03-19,12910,60670666.3178082
"Italy",2017-03-26,12733,60670870.1041096
"Italy",2017-04-02,12432,60671073.890411
"Italy",2017-04-09,12031,60671277.6767123
"Italy",2017-04-16,12276,60671481.4630137
"Italy",2017-04-23,11753,60671685.2493151
"Italy",2017-04-30,12145,60671889.0356164
"Italy",2018-01-15,16021,60648521.9616438
"Italy",2018-01-22,15337,60647632.0410959
"Italy",2018-01-29,14832,60646742.1205479
"Italy",2018-02-05,14662,60645852.2
"Italy",2018-02-12,13989,60644962.2794521
"Italy",2018-02-19,14232,60644072.3589041
"Italy",2018-02-26,14139,60643182.4383562
"Italy",2018-03-05,14752,60642292.5178082
"Italy",2018-03-12,14206,60641402.5972603
"Italy",2018-03-19,13309,60640512.6767123
"Italy",2018-03-26,12560,60639622.7561644
"Italy",2018-04-02,12849,60638732.8356164
"Italy",2018-04-09,12627,60637842.9150685
"Italy",2018-04-16,12144,60636952.9945205
"Italy",2018-04-23,12101,60636063.0739726
"Italy",2018-04-30,11719,60635173.1534247
"Italy",2019-01-15,15215,60585413.1863014
"Italy",2019-01-22,15535,60583932.6575342
"Italy",2019-01-29,15616,60582452.1287671
"Italy",2019-02-05,16009,60580971.6
"Italy",2019-02-12,15417,60579491.0712329
"Italy",2019-02-19,15157,60578010.5424658
"Italy",2019-02-26,14555,60576530.0136986
"Italy",2019-03-05,14801,60575049.4849315
"Italy",2019-03-12,13772,60573568.9561644
"Italy",2019-03-19,13206,60572088.4273973
"Italy",2019-03-26,12868,60570607.8986301
"Italy",2019-04-02,12517,60569127.369863
"Italy",2019-04-09,12734,60567646.8410959
"Italy",2019-04-16,12182,60566166.3123288
"Italy",2019-04-23,12458,60564685.7835616
"Italy",2019-04-30,11783,60563205.2547945
"Italy",2020-01-15,14201,60502342.6229508
"Italy",2020-01-22,14125,60500654.5136612
"Italy",2020-01-29,14292,60498966.4043716
"Italy",2020-02-05,13739,60497278.295082
"Italy",2020-02-12,13765,60495590.1857923
"Italy",2020-02-19,13605,60493902.0765027
"Italy",2020-02-26,13556,60492213.9672131
"Italy",2020-03-04,13821,60490525.8579235
"Italy",2020-03-11,16333,60488837.7486339
"Italy",2020-03-18,20087,60487149.6393443
"Italy",2020-03-25,23586,60485461.5300546
"Italy",2020-04-01,22933,60483773.420765
"Italy",2020-04-08,19757,60482085.3114754
"Italy",2020-04-15,17961,60480397.2021858
"Italy",2020-04-22,15471,60478709.0928962
"Italy",2020-04-29,13832,60477020.9836066
"Netherlands",2010-01-15,2830,16682927
"Netherlands",2010-01-22,2846,16682927
"Netherlands",2010-01-29,2865,16682927
"Netherlands",2010-02-05,2858,16682927
"Netherlands",2010-02-12,2831,16682927
"Netherlands",2010-02-19,2900,16682927
"Netherlands",2010-02-26,2929,16682927
